,SKILLID,PREFERREDLABEL,SKILLGROUPLABEL,SKILLGROUPID
6795,687671b9ebd2bf665349c0bd,collaborate to discuss treatment plans in psychotherapy,collaborating and liaising,687671b3ebd2bf665349a5a3
6796,687671b9ebd2bf665349c0be,fuel gas,electricity and energy,687671b3ebd2bf665349a431
6797,687671b9ebd2bf665349c0bf,use hand pliers,using hand tools,687671b3ebd2bf665349a546
6798,687671b9ebd2bf665349c0c0,understand written Walloon,,
6799,687671b9ebd2bf665349c0c1,conduct physical examinations,diagnosing health conditions,687671b3ebd2bf665349a5ed
6800,687671b9ebd2bf665349c0c2,coordinate performance tours,planning events and programmes,687671b3ebd2bf665349a5de
6801,687671b9ebd2bf665349c0c3,prevent kiln loss of heat,"operating kilns, furnaces and drying equipment",687671b3ebd2bf665349a5bc
6802,687671b9ebd2bf665349c0c4,write Croatian,,
6803,687671b9ebd2bf665349c0c5,make logistical arrangements,managing transport and logistics activities,687671b3ebd2bf665349a5ea
6804,687671b9ebd2bf665349c0c6,teach journalistic practices,teaching academic or vocational subjects,687671b3ebd2bf665349a4e5
6805,687671b9ebd2bf665349c0c7,perform office routine activities,performing general clerical and administrative tasks,687671b3ebd2bf665349a57f
6806,687671b9ebd2bf665349c0c8,prepare inventory of properties,maintaining operational records,687671b3ebd2bf665349a498
6807,687671b9ebd2bf665349c0c9,study aerial photos,conducting academic or market research,687671b3ebd2bf665349a557
6808,687671b9ebd2bf665349c0ca,produce airport lighting system reports,maintaining operational records,687671b3ebd2bf665349a498
6809,687671b9ebd2bf665349c0cb,develop rubber compound formulas,preparing mixtures or solutions,687671b3ebd2bf665349a5bf
6810,687671b9ebd2bf665349c0cc,follow-up after patients' surgery,"providing medical, dental and nursing care",687671b3ebd2bf665349a545
6811,687671b9ebd2bf665349c0cd,design buildings,designing structures or facilities,687671b3ebd2bf665349a5a7
6812,687671b9ebd2bf665349c0ce,coat seams with hot pitch,applying material to fill gaps in surfaces,687671b3ebd2bf665349a5f2
6813,687671b9ebd2bf665349c0cf,prepare premises,creating visual displays and decorations,687671b3ebd2bf665349a594
6814,687671b9ebd2bf665349c0d0,teach electronics and automation principles,teaching academic or vocational subjects,687671b3ebd2bf665349a4e5
6815,687671b9ebd2bf665349c0d1,supervise routine maintenance of airport lighting systems,"maintaining electrical, electronic and precision equipment",687671b3ebd2bf665349a611
6816,687671b9ebd2bf665349c0d2,ensure compliance with railway regulation,ensuring compliance with legislation,687671b3ebd2bf665349a4eb
6817,687671b9ebd2bf665349c0d3,operate wave soldering machine,operating machinery for the manufacture of products,687671b3ebd2bf665349a4ba
6818,687671b9ebd2bf665349c0d4,add slabs to ceramic work,creating artistic designs or performances,687671b3ebd2bf665349a59f
6819,687671b9ebd2bf665349c0d5,roasted cacao beans,crop and livestock production,687671b3ebd2bf665349a44a
6820,687671b9ebd2bf665349c0d6,calculate quotations for security devices services,estimating resource needs,687671b3ebd2bf665349a5b5
6821,687671b9ebd2bf665349c0d7,prepare floor for underlayment,installing floor and wall coverings,687671b3ebd2bf665349a56f
6822,687671b9ebd2bf665349c0d8,operate private branch exchange,operating communications equipment,687671b3ebd2bf665349a4a0
6823,687671b9ebd2bf665349c0d9,operate industrial equipment,operating machinery for the manufacture of products,687671b3ebd2bf665349a4ba
6824,687671b9ebd2bf665349c0da,types of engraving stone,fine arts,687671b2ebd2bf665349a3cc
6825,687671b9ebd2bf665349c0db,manage the health and welfare of livestock,tending and breeding animals,687671b3ebd2bf665349a614
6826,687671b9ebd2bf665349c0dc,radiobiology,biology,687671b2ebd2bf665349a40b
6827,687671b9ebd2bf665349c0dd,forecast occupancy demand,"developing financial, business or marketing plans",687671b3ebd2bf665349a4ed
6828,687671b9ebd2bf665349c0de,assess sound quality,installing wooden and metal components,687671b3ebd2bf665349a53b
6829,687671b9ebd2bf665349c0df,apply assembling techniques for cemented footwear construction,fabricating garments and textile products,687671b3ebd2bf665349a514
6830,687671b9ebd2bf665349c0e0,repair rotating equipment,repairing and installing mechanical equipment,687671b3ebd2bf665349a4a3
6831,687671b9ebd2bf665349c0e1,use a warehouse management system,working with computers,687671b3ebd2bf665349a4f1
6832,687671b9ebd2bf665349c0e2,collect tax,managing budgets or finances,687671b3ebd2bf665349a4bc
6833,687671b9ebd2bf665349c0e3,provide food labelling expertise,"advising on legal, regulatory or procedural matters",687671b3ebd2bf665349a617
6834,687671b9ebd2bf665349c0e4,identify education needs,monitoring and evaluating the performance of individuals,687671b3ebd2bf665349a5c4
6835,687671b9ebd2bf665349c0e5,operate battery test equipment,using precision measuring equipment,687671b3ebd2bf665349a5d3
6836,687671b9ebd2bf665349c0e6,visual aid systems in airports,transport services,687671b3ebd2bf665349a484
6837,687671b9ebd2bf665349c0e7,understand written Belarusian,,
6838,687671b9ebd2bf665349c0e8,use typesetting software,"using word processing, publishing and presentation software",687671b3ebd2bf665349a502
6839,687671b9ebd2bf665349c0e9,use IT systems for commercial purposes,"using digital tools for collaboration, content creation and problem solving",687671b3ebd2bf665349a624
6840,687671b9ebd2bf665349c0ea,herbicides sprayers,chemistry,687671b2ebd2bf665349a415
6841,687671b9ebd2bf665349c0eb,microeconomics,economics,687671b2ebd2bf665349a3e5
6842,687671b9ebd2bf665349c0ec,prepare etching chemicals,preparing mixtures or solutions,687671b3ebd2bf665349a5bf
6843,687671b9ebd2bf665349c0ed,humanitarian aid actors,political sciences and civics,687671b2ebd2bf665349a3e6
6844,687671b9ebd2bf665349c0ee,adjust paper cutter,cutting materials and drilling holes,687671b3ebd2bf665349a543
6845,687671b9ebd2bf665349c0ef,write reports on emergency cases,technical or academic writing,687671b3ebd2bf665349a53d
6846,687671b9ebd2bf665349c0f0,implement relevant technical skills to perform at the highest level in sport,practising sports,687671b3ebd2bf665349a61e
6847,687671b9ebd2bf665349c0f1,textile technologies,"textiles (clothes, footwear and leather)",687671b3ebd2bf665349a43a
6848,687671b9ebd2bf665349c0f2,use hand tools,using hand tools,687671b3ebd2bf665349a546
6849,687671b9ebd2bf665349c0f3,finish barrels,preparing industrial materials for processing or use,687671b3ebd2bf665349a55b
6850,687671b9ebd2bf665349c0f4,consider ergonomic aspects of urban transportation,complying with health and safety procedures,687671b3ebd2bf665349a525
6851,687671b9ebd2bf665349c0f5,environmental impact of tourism,"travel, tourism and leisure",687671b3ebd2bf665349a477
6852,687671b9ebd2bf665349c0f6,morality,philosophy and ethics,687671b2ebd2bf665349a3d4
6853,687671b9ebd2bf665349c0f7,give theory lessons to pilots,teaching academic or vocational subjects,687671b3ebd2bf665349a4e5
6854,687671b9ebd2bf665349c0f8,operate automated optical inspection machine,using precision instrumentation and equipment,687671b3ebd2bf665349a51d
6855,687671b9ebd2bf665349c0f9,collect healthcare user's general data,gathering information from physical or electronic sources,687671b3ebd2bf665349a4d2
6856,687671b9ebd2bf665349c0fa,finish project within budget,,
6857,687671b9ebd2bf665349c0fb,record healthcare users' billing information,"preparing financial documents, records, reports, or budgets",687671b3ebd2bf665349a5a9
6858,687671b9ebd2bf665349c0fc,plan manufacturing processes,planning production processes,687671b3ebd2bf665349a60a
6859,687671b9ebd2bf665349c0fd,organise auditions,recruiting and hiring,687671b3ebd2bf665349a54c
6860,687671b9ebd2bf665349c0fe,use automatic programming,programming computer systems,687671b3ebd2bf665349a59a
6861,687671b9ebd2bf665349c0ff,develop shipping itineraries,planning events and programmes,687671b3ebd2bf665349a5de
6862,687671b9ebd2bf665349c100,industrial paint,building and civil engineering,687671b3ebd2bf665349a440
6863,687671b9ebd2bf665349c101,wall and floor coverings industry,building and civil engineering,687671b3ebd2bf665349a440
6864,687671b9ebd2bf665349c102,show intercultural awareness,,
6865,687671b9ebd2bf665349c103,ensure core uniformity,"operating metal, plastic or rubber forming equipment",687671b3ebd2bf665349a4f3
6866,687671b9ebd2bf665349c104,prepare surface for painting,smoothing surfaces of objects or equipment,687671b3ebd2bf665349a513
6867,687671b9ebd2bf665349c105,manage drilling contracts,negotiating and managing contracts and agreements,687671b3ebd2bf665349a4a6
6868,687671b9ebd2bf665349c106,guide drill pipes,installing plumbing or piping equipment or systems,687671b3ebd2bf665349a51e
6869,687671b9ebd2bf665349c107,cost management,management and administration,687671b2ebd2bf665349a3fa
6870,687671b9ebd2bf665349c108,perform comprehensive eye examinations,diagnosing health conditions,687671b3ebd2bf665349a5ed
6871,687671b9ebd2bf665349c109,provide private transport services,driving light vehicles,687671b3ebd2bf665349a5f5
6872,687671b9ebd2bf665349c10a,vocal techniques,music and performing arts,687671b2ebd2bf665349a3ce
6873,687671b9ebd2bf665349c10b,detect malfunctions in engines,installing wooden and metal components,687671b3ebd2bf665349a53b
6874,687671b9ebd2bf665349c10c,geodesy,earth sciences,687671b2ebd2bf665349a416
6875,687671b9ebd2bf665349c10d,develop virtual game engine,programming computer systems,687671b3ebd2bf665349a59a
6876,687671b9ebd2bf665349c10e,work with supporting team in community arts programme,working in teams,687671b3ebd2bf665349a603
6877,687671b9ebd2bf665349c10f,install organs,fabricating precision instruments or jewellery,687671b3ebd2bf665349a4d4
6878,687671b9ebd2bf665349c110,types of wave energy converters,electricity and energy,687671b3ebd2bf665349a431
6879,687671b9ebd2bf665349c111,monitor building security,monitoring safety or security,687671b3ebd2bf665349a4a7
6880,687671b9ebd2bf665349c112,manage operations in healthcare institutions,directing operational activities,687671b3ebd2bf665349a56b
6881,687671b9ebd2bf665349c113,match lyrics to mood of melody,artistic and creative writing,687671b3ebd2bf665349a4ad
6882,687671b9ebd2bf665349c114,prepare kiln schedules,"operating kilns, furnaces and drying equipment",687671b3ebd2bf665349a5bc
6883,687671b9ebd2bf665349c115,perform diagnostic testing for allergies,diagnosing health conditions,687671b3ebd2bf665349a5ed
6884,687671b9ebd2bf665349c116,upholster transport equipment's interior pieces,assembling furniture,687671b3ebd2bf665349a52f
6885,687671b9ebd2bf665349c117,identify mental health issues,diagnosing health conditions,687671b3ebd2bf665349a5ed
6886,687671b9ebd2bf665349c118,predictive maintenance,"engineering, manufacturing and construction not elsewhere classified",687671b3ebd2bf665349a443
6887,687671b9ebd2bf665349c119,monitor bushings,installing wooden and metal components,687671b3ebd2bf665349a53b
6888,687671b9ebd2bf665349c11a,participate actively in civic life,applying civic skills and competences,687671b3ebd2bf665349a5ec
6889,687671b9ebd2bf665349c11b,cosmetics,hair and beauty services,687671b3ebd2bf665349a474
6890,687671b9ebd2bf665349c11c,immigration law,law,687671b2ebd2bf665349a401
6891,687671b9ebd2bf665349c11d,interact verbally in Belarusian,,
6892,687671b9ebd2bf665349c11e,types of toilets,building and civil engineering,687671b3ebd2bf665349a440
6893,687671b9ebd2bf665349c11f,install handrail,installing and assembling building fixtures,687671b3ebd2bf665349a522
6894,687671b9ebd2bf665349c120,analyse library users' queries,analysing and evaluating information and data,687671b3ebd2bf665349a4c4
6895,687671b9ebd2bf665349c121,assess food samples,testing and analysing substances,687671b3ebd2bf665349a5e2
6896,687671b9ebd2bf665349c122,organise technical operating information for vehicles,managing information,687671b3ebd2bf665349a4e2
6897,687671b9ebd2bf665349c123,assemble health and safety resources,complying with health and safety procedures,687671b3ebd2bf665349a525
6898,687671b9ebd2bf665349c124,types of paper,"materials (glass, paper, plastic and wood)",687671b3ebd2bf665349a439
6899,687671b9ebd2bf665349c125,provide legal information on medical devices,"advising on legal, regulatory or procedural matters",687671b3ebd2bf665349a617
6900,687671b9ebd2bf665349c126,product range of railway companies,transport services,687671b3ebd2bf665349a484
6901,687671b9ebd2bf665349c127,think critically,"processing information, ideas and concepts",687671b3ebd2bf665349a62f
6902,687671b9ebd2bf665349c128,maintain relationships with animal welfare establishments,developing professional relationships or networks,687671b3ebd2bf665349a571
6903,687671b9ebd2bf665349c129,operate bead setter,assembling and fabricating products,687671b3ebd2bf665349a562
6904,687671b9ebd2bf665349c12a,document evidence,recording legal information,687671b3ebd2bf665349a5b7
6905,687671b9ebd2bf665349c12b,operate on-board computer systems,using digital tools to control machinery,687671b3ebd2bf665349a50c
6906,687671b9ebd2bf665349c12c,check functionality of essential components of airport vehicles,testing vehicles,687671b3ebd2bf665349a508
6907,687671b9ebd2bf665349c12d,keep time accurately,measuring physical properties,687671b3ebd2bf665349a4e9
6908,687671b9ebd2bf665349c12e,"design the digital interface of gambling, betting and lottery games",designing ict systems or applications,687671b3ebd2bf665349a5aa
6909,687671b9ebd2bf665349c12f,monitor amusement park safety,monitoring safety or security,687671b3ebd2bf665349a4a7
6910,687671b9ebd2bf665349c130,use shorthand,writing and composing,687671b3ebd2bf665349a5a4
6911,687671b9ebd2bf665349c131,keep up-to-date to computer trends,monitoring developments in area of expertise,687671b3ebd2bf665349a5ff
6912,687671b9ebd2bf665349c132,select costumes,creating artistic designs or performances,687671b3ebd2bf665349a59f
6913,687671b9ebd2bf665349c133,use threading techniques,styling hair and providing beauty treatments,687671b3ebd2bf665349a52b
6914,687671b9ebd2bf665349c134,counsel patients on improving speech,providing medical advice,687671b3ebd2bf665349a5d0
6915,687671b9ebd2bf665349c135,raise awareness on local community's priorities,advocating for individual or community needs,687671b3ebd2bf665349a49f
6916,687671b9ebd2bf665349c136,support the autonomy of young people,counselling,687671b3ebd2bf665349a4a1
6917,687671b9ebd2bf665349c137,handle horses during dental procedures,providing therapy or veterinary treatment for animals,687671b3ebd2bf665349a542
6918,687671b9ebd2bf665349c138,handle challenging situations in fishery operations,,
6919,687671b9ebd2bf665349c139,herbicides,chemistry,687671b2ebd2bf665349a415
6920,687671b9ebd2bf665349c13a,execute ICT audits,"evaluating systems, programmes, equipment and products",687671b3ebd2bf665349a61c
6921,687671b9ebd2bf665349c13b,collaborate with music librarians,working in teams,687671b3ebd2bf665349a603
6922,687671b9ebd2bf665349c13c,centrifugal force,physics,687671b2ebd2bf665349a417
6923,687671b9ebd2bf665349c13d,manage account department,supervising a team or group,687671b3ebd2bf665349a59d
6924,687671b9ebd2bf665349c13e,understand written Polish,,
6925,687671b9ebd2bf665349c13f,alter wearing apparel,fabricating garments and textile products,687671b3ebd2bf665349a514
6926,687671b9ebd2bf665349c140,perform dunning activities,communicating with colleagues and clients,687671b3ebd2bf665349a591
6927,687671b9ebd2bf665349c141,advise supervisors,advising and consulting,687671b3ebd2bf665349a4ac
6928,687671b9ebd2bf665349c142,maintain mould parts,making production moulds and casts,687671b3ebd2bf665349a50a
6929,687671b9ebd2bf665349c143,store stage weapons,handling and disposing of hazardous materials,687671b3ebd2bf665349a574
6930,687671b9ebd2bf665349c144,remove concrete forms,installing concrete components,687671b3ebd2bf665349a5f1
6931,687671b9ebd2bf665349c145,notify supervisor,working in teams,687671b3ebd2bf665349a603
6932,687671b9ebd2bf665349c146,register death,maintaining or preparing medical documentation,687671b3ebd2bf665349a5c3
6933,687671b9ebd2bf665349c147,problem-solving with digital tools,using digital tools for collaboration and productivity,687671b3ebd2bf665349a588
6934,687671b9ebd2bf665349c148,use hand tools for forestry work,using hand tools,687671b3ebd2bf665349a546
6935,687671b9ebd2bf665349c149,deliver outstanding service,providing general assistance to people,687671b3ebd2bf665349a4ae
6936,687671b9ebd2bf665349c14a,encourage social service users to preserve their independence in their daily activities,assisting with personal needs,687671b3ebd2bf665349a54d
6937,687671b9ebd2bf665349c14b,diagnose musculoskeletal conditions,diagnosing health conditions,687671b3ebd2bf665349a5ed
6938,687671b9ebd2bf665349c14c,control reorder points,storing goods and materials,687671b3ebd2bf665349a60e
6939,687671b9ebd2bf665349c14d,sell art,selling products or services,687671b3ebd2bf665349a5fc
6940,687671b9ebd2bf665349c14e,work with blacksmithing hand tools,shaping materials to create products,687671b3ebd2bf665349a4fe
6941,687671b9ebd2bf665349c14f,manage production of footwear or leather goods,"organising, planning and scheduling work and activities",687671b3ebd2bf665349a499
6942,687671b9ebd2bf665349c150,produce drum components,fabricating precision instruments or jewellery,687671b3ebd2bf665349a4d4
6943,687671b9ebd2bf665349c151,design database in the cloud,designing ict systems or applications,687671b3ebd2bf665349a5aa
6944,687671b9ebd2bf665349c152,define risk policies,performing risk analysis and management,687671b3ebd2bf665349a556
6945,687671b9ebd2bf665349c153,monitor biomedical equipment stock,"moving or lifting materials, equipment, or supplies",687671b3ebd2bf665349a60d
6946,687671b9ebd2bf665349c154,assess quality of services,monitoring quality of products,687671b3ebd2bf665349a4a2
6947,687671b9ebd2bf665349c155,organise transportation of tour groups,planning events and programmes,687671b3ebd2bf665349a5de
6948,687671b9ebd2bf665349c156,operate nibbling equipment,"operating metal, plastic or rubber forming equipment",687671b3ebd2bf665349a4f3
6949,687671b9ebd2bf665349c157,operate rollers,"operating metal, plastic or rubber forming equipment",687671b3ebd2bf665349a4f3
6950,687671b9ebd2bf665349c158,agricultural chemicals,chemistry,687671b2ebd2bf665349a415
6951,687671b9ebd2bf665349c159,stock shelves,storing goods and materials,687671b3ebd2bf665349a60e
6952,687671b9ebd2bf665349c15a,test dental appliances for compliance,monitoring quality of products,687671b3ebd2bf665349a4a2
6953,687671b9ebd2bf665349c15b,control games,conducting gaming activities,687671b3ebd2bf665349a507
6954,687671b9ebd2bf665349c15c,operate perforating machine,operating print and photographic production equipment,687671b3ebd2bf665349a5f7
6955,687671b9ebd2bf665349c15d,handle mergers and acquisitions,negotiating and managing contracts and agreements,687671b3ebd2bf665349a4a6
6956,687671b9ebd2bf665349c15e,manage personnel agenda,performing general clerical and administrative tasks,687671b3ebd2bf665349a57f
6957,687671b9ebd2bf665349c15f,diagnose psychiatric symptoms,diagnosing health conditions,687671b3ebd2bf665349a5ed
6958,687671b9ebd2bf665349c160,understand written Bihari,,
6959,687671b9ebd2bf665349c161,carry out storage risk management,performing risk analysis and management,687671b3ebd2bf665349a556
6960,687671b9ebd2bf665349c162,perform public relations,"promoting products, services, or programs",687671b3ebd2bf665349a616
6961,687671b9ebd2bf665349c163,animate 3D organic forms,creating artistic designs or performances,687671b3ebd2bf665349a59f
6962,687671b9ebd2bf665349c164,understand written English,,
6963,687671b9ebd2bf665349c165,statistics,statistics,687671b2ebd2bf665349a41c
6964,687671b9ebd2bf665349c166,Swedish,languages,687671b3ebd2bf665349a501
6965,687671b9ebd2bf665349c167,develop curriculum,developing educational programmes,687671b3ebd2bf665349a555
6966,687671b9ebd2bf665349c168,negotiate price,negotiating and managing contracts and agreements,687671b3ebd2bf665349a4a6
6967,687671b9ebd2bf665349c169,install insulation material,installing insulation materials,687671b3ebd2bf665349a4a8
6968,687671b9ebd2bf665349c16a,advise food industry,advising on business or operational matters,687671b3ebd2bf665349a5a5
6969,687671b9ebd2bf665349c16b,pipeline coating properties,building and civil engineering,687671b3ebd2bf665349a440
6970,687671b9ebd2bf665349c16c,understand written Montenegrin,,
6971,687671b9ebd2bf665349c16d,neuropharmacology,biochemistry,687671b2ebd2bf665349a40c
6972,687671b9ebd2bf665349c16e,attend to ICT systems quality,protecting ict devices,687671b3ebd2bf665349a4b7
6973,687671b9ebd2bf665349c16f,receive actors' resumes,recruiting and hiring,687671b3ebd2bf665349a54c
6974,687671b9ebd2bf665349c170,types of metal,mechanics and metal trades,687671b3ebd2bf665349a433
6975,687671b9ebd2bf665349c171,wind sliver strands,"operating machinery for the manufacture and treatment of textiles, fur and leather products",687671b3ebd2bf665349a590
6976,687671b9ebd2bf665349c172,urban planning,architecture and town planning,687671b3ebd2bf665349a43f
6977,687671b9ebd2bf665349c173,write production reports,technical or academic writing,687671b3ebd2bf665349a53d
6978,687671b9ebd2bf665349c174,call routing,database and network design and administration,687671b3ebd2bf665349a425
6979,687671b9ebd2bf665349c175,conduct guest soloists,accompanying and welcoming people,687671b3ebd2bf665349a48c
6980,687671b9ebd2bf665349c176,assessment of risks and threats,database and network design and administration,687671b3ebd2bf665349a425
6981,687671b9ebd2bf665349c177,move treated wood,"loading and unloading goods and, materials",687671b3ebd2bf665349a536
6982,687671b9ebd2bf665349c178,crane load charts,transport services,687671b3ebd2bf665349a484
6983,687671b9ebd2bf665349c179,counsel on nutrition and its impact on oral health,providing medical advice,687671b3ebd2bf665349a5d0
6984,687671b9ebd2bf665349c17a,identify archaeological finds,"conducting studies, investigations and examinations",687671b3ebd2bf665349a57e
6985,687671b9ebd2bf665349c17b,engage others in environment friendly behaviours,applying environmental skills and competences,687671b3ebd2bf665349a55c
6986,687671b9ebd2bf665349c17c,keep up to date on local events,monitoring developments in area of expertise,687671b3ebd2bf665349a5ff
6987,687671b9ebd2bf665349c17d,monitor crew members operating engines,monitoring and evaluating the performance of individuals,687671b3ebd2bf665349a5c4
6988,687671b9ebd2bf665349c17e,sedimentology,chemistry,687671b2ebd2bf665349a415
6989,687671b9ebd2bf665349c17f,bind wire,shaping materials to create products,687671b3ebd2bf665349a4fe
6990,687671b9ebd2bf665349c180,soak film in water,operating print and photographic production equipment,687671b3ebd2bf665349a5f7
6991,687671b9ebd2bf665349c181,conduct aviation auditing,monitoring operational activities,687671b3ebd2bf665349a4b4
6992,687671b9ebd2bf665349c182,sports competition information,journalism and reporting,687671b2ebd2bf665349a3ec
6993,687671b9ebd2bf665349c183,keep updated on innovations in various business fields,monitoring developments in area of expertise,687671b3ebd2bf665349a5ff
6994,687671b9ebd2bf665349c184,manage financial risk,performing risk analysis and management,687671b3ebd2bf665349a556
6995,687671b9ebd2bf665349c185,record customers' personal data,gathering information from physical or electronic sources,687671b3ebd2bf665349a4d2
6996,687671b9ebd2bf665349c186,measure the human body for wearing apparel,measuring dimensions and related properties,687671b3ebd2bf665349a4ca
6997,687671b9ebd2bf665349c187,plan presence at professional events,planning events and programmes,687671b3ebd2bf665349a5de
6998,687671b9ebd2bf665349c188,use wire processing machinery,"operating metal, plastic or rubber forming equipment",687671b3ebd2bf665349a4f3
6999,687671b9ebd2bf665349c189,organise group music therapy sessions,providing psychological and occupational therapies,687671b3ebd2bf665349a50d
7000,687671b9ebd2bf665349c18a,apply Steiner teaching strategies,coaching and mentoring,687671b3ebd2bf665349a600
7001,687671b9ebd2bf665349c18b,conduct customer identification,verifying identities and documentation,687671b3ebd2bf665349a608
7002,687671b9ebd2bf665349c18c,teach design and applied arts principles,teaching academic or vocational subjects,687671b3ebd2bf665349a4e5
7003,687671b9ebd2bf665349c18d,supervise employees on operating fuel pumps,supervising a team or group,687671b3ebd2bf665349a59d
7004,687671b9ebd2bf665349c18e,room aesthetics,"fashion, interior and industrial design",687671b2ebd2bf665349a3cb
7005,687671b9ebd2bf665349c18f,assist with funeral planning,"organising, planning and scheduling work and activities",687671b3ebd2bf665349a499
7006,687671b9ebd2bf665349c190,graphic design,audio-visual techniques and media production,687671b2ebd2bf665349a3ca
7007,687671b9ebd2bf665349c191,devise military tactics,developing operational policies and procedures,687671b3ebd2bf665349a5c6
7008,687671b9ebd2bf665349c192,keep records of animal inseminations,maintaining operational records,687671b3ebd2bf665349a498
7009,687671b9ebd2bf665349c193,learning technologies,education science,687671b2ebd2bf665349a3be
7010,687671b9ebd2bf665349c194,repair stuffed animals,fabricating garments and textile products,687671b3ebd2bf665349a514
7011,687671b9ebd2bf665349c195,provide legal legitimacy to the transfer of assets,"advising on legal, regulatory or procedural matters",687671b3ebd2bf665349a617
7012,687671b9ebd2bf665349c196,handle patient trauma,"providing medical, dental and nursing care",687671b3ebd2bf665349a545
7013,687671b9ebd2bf665349c197,install lockable devices,installing and assembling building fixtures,687671b3ebd2bf665349a522
7014,687671b9ebd2bf665349c198,educate on sustainable tourism,coaching and mentoring,687671b3ebd2bf665349a600
7015,687671b9ebd2bf665349c199,assess site production potential,assessing land or real estate,687671b3ebd2bf665349a4fa
7016,687671b9ebd2bf665349c19a,use communication techniques,"communication, collaboration and creativity",687671b3ebd2bf665349a59e
7017,687671b9ebd2bf665349c19b,tropical medicine,medicine,687671b3ebd2bf665349a45d
7018,687671b9ebd2bf665349c19c,drying methods,"materials (glass, paper, plastic and wood)",687671b3ebd2bf665349a439
7019,687671b9ebd2bf665349c19d,provide information on wind turbines,,
7020,687671b9ebd2bf665349c19e,assemble robots,assembling electrical and electronic products,687671b3ebd2bf665349a523
7021,687671b9ebd2bf665349c19f,insert bladders in sport balls,assembling and fabricating products,687671b3ebd2bf665349a562
7022,687671b9ebd2bf665349c1a0,create ceramic objects,creating artistic designs or performances,687671b3ebd2bf665349a59f
7023,687671b9ebd2bf665349c1a1,prevent health and safety problems,complying with health and safety procedures,687671b3ebd2bf665349a525
7024,687671b9ebd2bf665349c1a2,manufacture fur products,"operating machinery for the manufacture and treatment of textiles, fur and leather products",687671b3ebd2bf665349a590
7025,687671b9ebd2bf665349c1a3,horse anatomy,biology,687671b2ebd2bf665349a40b
7026,687671b9ebd2bf665349c1a4,contribute to the formulation of correctional procedures,developing operational policies and procedures,687671b3ebd2bf665349a5c6
7027,687671b9ebd2bf665349c1a5,sell academic books,selling products or services,687671b3ebd2bf665349a5fc
7028,687671b9ebd2bf665349c1a6,prevent work accidents,complying with health and safety procedures,687671b3ebd2bf665349a525
7029,687671b9ebd2bf665349c1a7,teach medical laboratory technology principles,teaching academic or vocational subjects,687671b3ebd2bf665349a4e5
7030,687671b9ebd2bf665349c1a8,understand spoken Bengali,,
7031,687671b9ebd2bf665349c1a9,prepare construction documents,"documenting technical designs, procedures, problems or activities",687671b3ebd2bf665349a584
7032,687671b9ebd2bf665349c1aa,analyse logistic needs,analysing business operations,687671b3ebd2bf665349a612
7033,687671b9ebd2bf665349c1ab,project management methodology (PM²),management and administration,687671b2ebd2bf665349a3fa
7034,687671b9ebd2bf665349c1ac,agroforestry,forestry,687671b3ebd2bf665349a44e
7035,687671b9ebd2bf665349c1ad,inspect airside area facilities,"monitoring, inspecting and testing",687671b3ebd2bf665349a516
7036,687671b9ebd2bf665349c1ae,fill kettle,preparing food and drinks,687671b3ebd2bf665349a570
7037,687671b9ebd2bf665349c1af,manage creative department,supervising a team or group,687671b3ebd2bf665349a59d
7038,687671b9ebd2bf665349c1b0,aerodynamics,"motor vehicles, ships and aircraft",687671b3ebd2bf665349a434
7039,687671b9ebd2bf665349c1b1,plan rig moves,planning production processes,687671b3ebd2bf665349a60a
7040,687671b9ebd2bf665349c1b2,mammalogy,biology,687671b2ebd2bf665349a40b
7041,687671b9ebd2bf665349c1b3,place orders for flower products,purchasing goods or services,687671b3ebd2bf665349a534
7042,687671b9ebd2bf665349c1b4,manage online gambling,conducting gaming activities,687671b3ebd2bf665349a507
7043,687671b9ebd2bf665349c1b5,report utility meter readings,maintaining operational records,687671b3ebd2bf665349a498
7044,687671b9ebd2bf665349c1b6,control steam flows,operating energy production or distribution equipment,687671b3ebd2bf665349a575
7045,687671b9ebd2bf665349c1b7,select video shots,"creating artistic, visual or instructive materials",687671b3ebd2bf665349a54a
7046,687671b9ebd2bf665349c1b8,manage major incidents,complying with health and safety procedures,687671b3ebd2bf665349a525
7047,687671b9ebd2bf665349c1b9,promote one's writings,"promoting products, services, or programs",687671b3ebd2bf665349a616
7048,687671b9ebd2bf665349c1ba,analyse data for aeronautical publications,analysing and evaluating information and data,687671b3ebd2bf665349a4c4
7049,687671b9ebd2bf665349c1bb,cyber security,military and defence,687671b3ebd2bf665349a480
7050,687671b9ebd2bf665349c1bc,provide chiropractic diagnosis,diagnosing health conditions,687671b3ebd2bf665349a5ed
7051,687671b9ebd2bf665349c1bd,perform quick hair changeovers,styling hair and providing beauty treatments,687671b3ebd2bf665349a52b
7052,687671b9ebd2bf665349c1be,maintain records of phone calls,maintaining operational records,687671b3ebd2bf665349a498
7053,687671b9ebd2bf665349c1bf,perform rail operations risk management,performing risk analysis and management,687671b3ebd2bf665349a556
7054,687671b9ebd2bf665349c1c0,manage commercial risks,analysing business operations,687671b3ebd2bf665349a612
7055,687671b9ebd2bf665349c1c1,architectural design,architecture and town planning,687671b3ebd2bf665349a43f
7056,687671b9ebd2bf665349c1c2,write greeting card verses,artistic and creative writing,687671b3ebd2bf665349a4ad
