informal work in eng,SECTOR,SUBSECTOR
Infrastructure Coordinator,Economic Infrastructure,Building Construction
Infrastructure Specialist,Economic Infrastructure,Building Construction
Disease Elimination Program Coordinator,Health,Health
Park Administrator,Service,"Conservation of plants, animals and nature attractions"
Emergency Shelter Officer,Service,Social work services
Project Support Officer,Service,Other services
Research Development Officer,Service,Research and experimental development activities in agriculture and animal husbandry
Research Ethics Officer,Service,Research and experimental development activities in agriculture and animal husbandry
Research Infrastructure Specialist,Service,Research and experimental development activities in agriculture and animal husbandry
Resource Development Coordinator,Service,Other services
Sports Federation Manager,Service,Works of sports associations (sports To obtain a certificate of professional competence)
Volunteer Service Manager,Service,Social work services
Volunteer Coordinator,Service,Social work services
Natural Resource Economist,Service,Research and Experimental Development Works on Economics and Development
Natural Resource Management Advisor,Service,Agriculture and Livestock Services (with the exception of veterinary medicine)Livestock Breeding or artificial breeding
Natural Resource Management Officer,Service,Agriculture and Livestock Services (with the exception of veterinary medicine)Livestock Breeding or artificial breeding
Natural Resource Management Specialist,Service,Agriculture and Livestock Services (with the exception of veterinary medicine)Livestock Breeding or artificial breeding
Natural Resource Professional,Service,Agriculture and Livestock Services (with the exception of veterinary medicine)Livestock Breeding or artificial breeding
Natural Resource Researcher,Service,Research and experimental development activities in agriculture and animal husbandry
Natural Science Teacher,Education,other
Science Test Preparation Specialist,Education,other
Natural Sciences Manager,Service,Consulting around natural science
Naturopathic Physician,Health,Health
Disease Prevention and Control Officer,Health,Health
Contract Negotiator,Service,Other services
Neonatal Advanced Life Support Specialist,Health,Health
Neonatal and Child Health Advisor,Health,Health
Neonatal Intensive Care Unit Nurse,Health,Health
Neonatal Nurse,Health,Health
Neonatologist,Health,Health
Network and System Administrator,ICT and digital work,Computer network design deployment and implementation tasks
Network and Computer Systems Administrator,ICT and digital work,Computer network design deployment and implementation tasks
Network and Hardware Maintenance Officer,ICT and digital work,Computer network design deployment and implementation tasks
Information Security Specialist,ICT and digital work,Computer network design deployment and implementation tasks
Network and System Engineer,ICT and digital work,Computer network design deployment and implementation tasks
Network Architect,ICT and digital work,Computer network design deployment and implementation tasks
Network Cable Installer,Construction,Computer network cable Stretching works
Network Security Engineer,ICT and digital work,Computer network design deployment and implementation tasks
Network Transmission Engineer,ICT and digital work,Computer network design deployment and implementation tasks
Network Security Officer,ICT and digital work,Computer network design deployment and implementation tasks
Network Specialist,ICT and digital work,Computer network design deployment and implementation tasks
Network Officer,ICT and digital work,Computer network design deployment and implementation tasks
Neurodiagnostic Technologist,Health,Health
Neurologist,Health,Health
Neuropsychiatrist,Health,Health
Neurosurgeon,Health,Health
New Accounts Clerk,Service,Accounting audit and adminstrative works
NICU Nurse,Health,Health
Night Auditor,Service,Accounting audit and adminstrative works
Nightclub Host,Tourism and art,"Resturant,Coffee shop"
Nightclub Manager,Tourism and art,"Resturant,Coffee shop"
Nightclub Supervisor,Tourism and art,"Resturant,Coffee shop"
Building Administrator,Service,Other services
Shift Controller,Service,Other services
Network Operations Center Administrator,ICT and digital work,Computer network design deployment and implementation tasks
Non-Destructive Testing Technician,Manufacturing,Manufacture of General Mechanical Engineering Products for Metal Painting works
Ticket Agent,Tourism and art,Travel Agent and Related Services
Filmmaker,Tourism and art,Filmmaking and related work
Nuclear Engineer,Economic Infrastructure,Energy
Nuclear Equipment Technician,Economic Infrastructure,Energy
Nuclear Medicine Technologist,Health,Health
Nuclear Monitoring Technician,Economic Infrastructure,Energy
Nuclear Power Reactor Operator,Economic Infrastructure,Energy
Nuclear Technician,Economic Infrastructure,Energy
Nurse Anesthetist,Health,Health
Nurse Practitioner,Health,Health
Nurse Supervisor,Health,Health
Nursery Technician,agriculture,Agriculture
Nursing Assistant,Health,Health
Nursing Coordinator,Health,Health
Nursing Instructor,Health,Health
Nutrition Communication Specialist,Health,Health
Nutrition Coordinator,Health,Health
Nutrition Researcher,Health,Health
Nutrition Scientist,Health,Health
Nutrition Specialist,Health,Health
Nutrition Therapist,Health,Health
Obstetrician-Gynecologist,Health,Health
Competency Assessor,Service,Professional certification
Occupational Health Advisor,Service,Occupational Safety and Health Care Consulting Service
Occupational Health and Safety Technician,Service,Occupational Safety and Health Care Consulting Service
Occupational Health Nurse,Health,Health
Occupational Safety Officer,Service,Occupational Safety and Health Care Consulting Service
Occupational Safety Specialist,Service,Occupational Safety and Health Care Consulting Service
Occupational Therapist,Health,Health
Occupational Therapy Aide,Health,Health
Occupational Therapy Assistant,Health,Health
Therapist,Health,Health
Development Assistance Officer,Service,Other services
Youth Development Specialist,Service,Social work services
Office Clerk,Service,Other services
Office Assistant,Service,Other services
Office Engineer,Service,Engineering Consulting Service
Office Equipment Technician,Service,Equipment and machine installation and maintenance service
Office Machine Operator,Service,Other services
Office Machine Technician,Service,Equipment and machine installation and maintenance service
Office Manager,Service,Other services
React Native Developer,ICT and digital work,Software Design Development and Implementation Works
Blind Installer,Manufacturing,For building assembly and construction work materials / equipment used manufacturing
Banking Support Officer,Service,Finance and Administration Services
Remittance Officer,Service,Finance and Administration Services
Grants Officer,Service,Finance and Administration Services
Investment Advisor,Service,Finance and Administration Services
IT Compliance Officer,ICT and digital work,Information Communication Technology Training Service
Mobile Banking Officer,Service,Finance and Administration Services
Operational Risk Officer,Service,Finance and Administration Services
Performance Management Officer,Service,Other services
Permit Officer,Service,Other services
Planning Officer,Service,Other services
Policy Officer,Service,Other services
Resource Management Officer,Service,Other services
IT Security Officer,ICT and digital work,Information Communication Technology Training Service
Oil Machinery Supervisor,Mining and Quarrying,Crude oil and natural gas extraction; Oil and gas related to extraction Service
Oncology Nurse,Health,Health
Oncologist,Health,Health
Parenting Coach,Service,"Other not-mentioned educational services (private tutoring, etc.)"
Course Curator,Education,other
Course Developer,Education,other
Freelance Marketer,Service,Advertising
Product Lister,Service,Other services
Construction Equipment Operator,Construction,General Contractor (Except for the from Water works contractor
Operating Room Nurse,Health,Health
Operations Executive,Service,Other services
Operations Specialist,Service,Other services
Operations Associate,Service,Other services
Operations Auditor,Service,Accounting audit and adminstrative works
Operations Research Analyst,Service,Other services
Ophthalmic Laboratory Technician,Health,Health
Ophthalmic Medical Technician,Health,Health
Ophthalmic Medical Technologist,Health,Health
Ophthalmic Nurse,Health,Health
Optician,Health,Health
Dispensing Optician,Health,Health
Food Writer,Service,Journalism
Optometrist,Health,Health
Oral and Maxillofacial Surgeon,Health,Health
Fulfillment Engineer,Service,Logistics Supply and Support Services (outside of other business sectors)
Organic Chemistry Technician,Service,Research and experimental development work in biology and chemistry
Job Evaluation Analyst,Service,Other services
Singer,Tourism and art,Music Band
Social Services Director,Service,Social work services
Orthodontist,Health,Health
Orthopedic Surgeon,Health,Health
Orthopedist,Health,Health
Orthoptist,Health,Health
Orthotist and Prosthetist,Health,Health
Small Engine Mechanic,Service,Other unmentioned repair jobs
Social Services Officer,Service,Social work services
Packaging Machine Operator,Manufacturing,Another unmentioned factory works
Packaging Designer,Service,Packaging works
Packer Machine Operator,Manufacturing,Another unmentioned factory works
Packer,Manufacturing,Another unmentioned factory works
Packing Machine Operator,Manufacturing,Another unmentioned factory works
Painter,Construction,Contractor of paint and decoration works
Painting Instructor,Education,other
Painting Worker,Construction,Contractor of paint and decoration works
Museum Custodian,Service,Library and Archives Services
Palletizer Operator,Manufacturing,Another unmentioned factory works
Pancake Maker,Manufacturing,"Bread, cake, Biscuit and Injera baking"
Paper Goods Machine Operator,Manufacturing,Manufacture of paper and paper products
Paper Machine Operator,Manufacturing,Manufacture of paper and paper products
Paperhanger,Construction,Building finishing works
Paramedic,Health,Health
Park Naturalist,Service,"Conservation of plants, animals and nature attractions"
Parking Attendant,Service,Other services
Parking Enforcement Officer,Service,Other services
Partnership Advisor,Service,Other services
Fundraising Director,Service,Other services
Parts Sales Representative,Business,Vehicle spare parts and accessories retail trade
Parts Salesperson,Business,Vehicle spare parts and accessories retail trade
Passenger Attendant,"Logistics, transportation and communication",Other scheduled land transport services
Capacity Building Coordinator,Service,Other services
Crop Development Coordinator,agriculture,Agriculture
Project Implementation Coordinator,Service,Other services
Pastoralist,agriculture,Animal Husbandry Development
Development Coordinator,Service,Other services
Technology Transfer Coordinator,Service,Other services
Special Needs Education Teacher,Education,other
TB Advisor,Health,Health
Patcher,Service,Other unmentioned repair jobs
Technology Transfer Officer,Service,Other services
Patent Examiner,Service,Other services
Patent Information Specialist,Service,Other services
Pathologist,Health,Health
Pathology Specialist,Health,Health
Pathways Advisor,Education,other
Patient Assistant,Health,Health
Patient Coordinator,Health,Health
Patient Information Coordinator,Health,Health
Patient Discharge Coordinator,Health,Health
Patient Registration Clerk,Health,Health
Patient Representative,Health,Health
"Patternmaker, Metal and Plastic",Manufacturing,Manufacture of General Mechanical Engineering Products for Metal Painting works
"Patternmaker, Wood",Manufacturing,Manufacture of wooden containers
Pavement Engineer,Construction,Road Contractor
Paving Equipment Operator,Construction,Road Contractor
Payment Integration Developer,ICT and digital work,Software Design Development and Implementation Works
Payment Processing Developer,ICT and digital work,Software Design Development and Implementation Works
Payment System Officer,Business,Finance and Administration Services
Payment Systems Officer,Business,Finance and Administration Services
Payment Systems Specialist,Business,Finance and Administration Services
Payroll Clerk,Business,Accounting audit and adminstrative works
Peace and Security Officer,Service,Security Service
Security Shift Coordinator,Service,Security Service
Security Team Leader,Service,Security Service
Peacebuilding Officer,Service,Social work services
Peacebuilding and Advocacy Officer,Service,Social work services
Peacebuilding Expert,Service,Social work services
Pedagogy Specialist,Education,other
Pediatric Cardiologist,Health,Health
Pediatric Emergency Physician,Health,Health
Pediatric Endocrinologist,Health,Health
Pediatric Infectious Disease Specialist,Health,Health
Pediatrician,Health,Health
Pediatric Nephrologist,Health,Health
Pediatric Neurologist,Health,Health
Pediatric Nurse,Health,Health
Pediatric Ophthalmologist,Health,Health
Pediatric Orthopedic Surgeon,Health,Health
Pediatric Surgeon,Health,Health
Penetration Tester,ICT and digital work,Software Design Development and Implementation Works
Performance Management Specialist,Service,Business Promotion Service
Performance Management Manager,Service,Business Promotion Service
Visual Arts Teacher,Education,other
Performance Assessor,Service,Quality Management Consulting Service
Performance Auditor,Service,Accounting audit and adminstrative works
Performance Engineer,Service,Engineering Consulting Service
Performance Test Lead,ICT and digital work,Software Design Development and Implementation Works
Performance Tester,ICT and digital work,Software Design Development and Implementation Works
Perioperative Nurse,Health,Health
Art Conservator,Tourism and art,Culture and Arts Education
Personal Assistant,Service,Other services
Personal Care Aide,Health,Health
English Instructor,Education,other
Personal Financial Advisor,Business,Finance and Administration Services
Personal Fitness Trainer,Service,Sports Services
Personal Service Manager,Service,Other services
Disability Rights Advocate,Service,Social work services
Pest Control Technician,Service,Pesticide service
Pest Control Manager,Service,Pesticide service
Pest Control Worker,Service,Pesticide service
Pesticide Specialist,Service,Pesticide service
Pesticide Applicator,Service,Pesticide service
Pet Groomer,Service,Other services
Pet Shop Assistant,Business,Retail trade in specialized stores
Petroleum Engineer,Mining and Quarrying,Crude oil and natural gas extraction; Oil and gas related to extraction Service
Petroleum Pump System Operator,Mining and Quarrying,Crude oil and natural gas extraction; Oil and gas related to extraction Service
Pharmacy Technician,Health,Health
Pharmaceutical Business Analyst,Health,Health
Pharmaceutical Sales Manager,Health,Health
Pharmaceutical Sales Representative,Health,Health
Pharmacy Aide,Health,Health
Senior Technical Assistant,Service,Other services
Postsecondary Philosophy and Religion Teacher,Education,other
Phlebotomist,Health,Health
Photo and Video Editor,Tourism and art,Motion Picture Works
Photo Frame Producer,Manufacturing,Manufacturing of photoframes and framing
Photojournalist,Tourism and art,Journalism
Photographer and Video Editor,Tourism and art,Motion Picture Works
Photographic Process Worker,Service,Photographic works
Photonics Engineer,Manufacturing,"Manufacture of broadcast service, radio, loudspeakers, recording and imaging equipment, dish, decoder set top box, etc"
Photonics Technician,Manufacturing,"Manufacture of broadcast service, radio, loudspeakers, recording and imaging equipment, dish, decoder set top box, etc"
Photography Director,Tourism and art,Motion Picture Works
Physiatrist,Health,Health
Physical Scientist,Service,Research and experimental development activities in agriculture and animal husbandry
Physical Therapist Aide,Health,Health
Physical Therapist Assistant,Health,Health
Physical Therapist,Health,Health
Physician,Health,Health
Physician Assistant,Health,Health
Physicist,Service,Research and experimental development work in engineering and technology
Analytical Chemist,Service,Research and experimental development work in biology and chemistry
Physics Laboratory Technician,Service,Research and experimental development work in engineering and technology
Physics Professor,Education,other
Physiotherapist,Health,Health
Physiotherapy Technician,Health,Health
Python Developer,ICT and digital work,Software Design Development and Implementation Works
Pile Driver Operator,Construction,Pile Foundation Contractor
Mixer Operator,Manufacturing,"Manufacture of concrete, cement and resin products"
Pipe Layer,Construction,Plumbing Contractor
Planning Specialist,Service,Business Promotion Service
Planning and Evaluation Specialist,Service,Business Promotion Service
Budget and Reporting Specialist,Business,Accounting audit and adminstrative works
Budget and Reporting Officer,Business,Accounting audit and adminstrative works
Resource Mobilization Specialist,Service,Other services
Supply Chain Officer,"Logistics, transportation and communication",Other supportive transportation services
Budget and Evaluation Specialist,Service,Accounting audit and adminstrative works
Spare Parts Engineer,Manufacturing,Manufacture of General Mechanical Engineering Products for Metal Painting works
Monitoring and Evaluation Engineer,Service,Other services
"Monitoring, Evaluation, and Reporting Specialist",Service,Other services
"Monitoring, Evaluation, and Reporting Officer",Service,Other services
"Monitoring, Evaluation, and Learning Officer",Service,Other services
"Monitoring, Evaluation, and Reporting Coordinator",Service,Other services
Equipment Administration Officer,Service,Other services
Maintenance Clerk,Service,General maintenance
Plant Accountant,Manufacturing,Another unmentioned factory works
Maintenance Coordinator,Service,General maintenance
Plant Administration Manager,Manufacturing,Another unmentioned factory works
Plant Administration Officer,Manufacturing,Another unmentioned factory works
Plant Controller,Manufacturing,Another unmentioned factory works
Plant Director,Manufacturing,Another unmentioned factory works
Plant Disease Prevention Specialist,agriculture,Agriculture
Plant Engineer,Manufacturing,Another unmentioned factory works
Plant Geneticist,agriculture,Agriculture
Nursery Manager,agriculture,Agriculture
Plant Officer,Manufacturing,Another unmentioned factory works
Product Safety Specialist,Manufacturing,Another unmentioned factory works
Quarantine Inspector,agriculture,Agriculture
Laboratory Diagnostician,Service,Laboratory test
Plant Scientist,agriculture,Agriculture
Planting Supervisor,agriculture,Agriculture
Plasma Machine Operator,Manufacturing,Another unmentioned factory works
Plastic Blowing Machine Operator,Manufacturing,Manufacturing of plastic products
Plastic Bottle Designer,Manufacturing,Manufacturing of plastic products
Plastic Industry Technician,Manufacturing,Manufacturing of plastic products
Platform Developer,ICT and digital work,Software Design Development and Implementation Works
Platform Presenter,Service,Media programming
Plating Machine Operator,Manufacturing,Another unmentioned factory works
Play-Out Operator,Service,Media programming
Plodder Machine Operator,Manufacturing,Another unmentioned factory works
Plugin Developer,ICT and digital work,Software Design Development and Implementation Works
Plumber,Construction,Plumbing Contractor
Podcast Host,Service,Media programming
Podcast Technician,Service,Media programming
Podiatrist,Health,Health
Police Records Officer,Service,Other services
Policy Manager,Service,Other services
Policy Specialist,Service,Other services
Policy Associate,Service,Other services
Policy Implementation Officer,Service,Other services
Policy Researcher,Service,Other services
Political Science Professor,Education,other
Political Scientist,Service,Research and Experimental Development Works on Economics and Development
Pump Technician,Service,General maintenance
Revenue Officer,Service,Finance and Administration Services
Population Policy Specialist,Service,Other services
Logistics Regulatory Specialist,"Logistics, transportation and communication",Other supportive transportation services
Port Operations Specialist,"Logistics, transportation and communication",Other supportive transportation services
Portfolio Management Analyst,Service,Finance and Administration Services
Postal Service Clerk,"Logistics, transportation and communication",National Postal Service
Mail Carrier,"Logistics, transportation and communication",National Postal Service
Mail Processing Machine Operator,"Logistics, transportation and communication",National Postal Service
Quarantine Specialist,agriculture,Agriculture
Postgraduate Education Coordinator,Education,other
Postgraduate Programs Specialist,Education,other
Post-Harvest Technology Specialist,agriculture,Agriculture
Post-Harvest Handling Specialist,agriculture,Agriculture
Licensing Inspector,Service,Other services
Postmaster,"Logistics, transportation and communication",National Postal Service
Accident Investigator,Service,Other services
Training Analyst,Service,Other services
Potter,Manufacturing,Manufacture of clay and ceramic products for structural use
Pottery Maker,Manufacturing,Manufacture of clay and ceramic products for structural use
Pottery Worker,Manufacturing,Manufacture of clay and ceramic products for structural use
Poultry Specialist,agriculture,Animal Husbandry Development
Poultry Farm Worker,agriculture,Animal Husbandry Development
Metal Pourer,Manufacturing,Aluminum
Power Apps Developer,ICT and digital work,Software Design Development and Implementation Works
Power Distributor and Dispatcher,Economic Infrastructure,Energy
Power Plant Operator,Economic Infrastructure,Energy
Public Relations Officer,Service,Advertising
Public Relations and Marketing Executive,Service,Advertising
Public Relations and Marketing Manager,Service,Advertising
Public Relations Strategist,Service,Advertising
Silo Operator,Manufacturing,Manufacturing of prepared animal feed
Preparation Operator,Manufacturing,Another unmentioned factory works
Pre-Sales Engineer,Service,Other services
Presentation Specialist,Service,Other services
College President,Education,other
Press Release Specialist,Service,Advertising
Pressing Operator,Manufacturing,Another unmentioned factory works
Prevention Officer,Service,Other services
Preventive Maintenance Officer,Service,General maintenance
Preventive Maintenance Manager,Service,General maintenance
Preventive Maintenance Engineer,Service,General maintenance
Price Statistician,Service,Other services
Primary School Director,Education,other
Primary Health Care Coordinator,Health,Health
Primary Health Care Specialist,Health,Health
Primary Health Care Officer,Health,Health
Home Teacher,Education,other
Primary School Principal,Education,other
Secondary School Principal,Education,other
IT Risk Manager,ICT and digital work,Information Communication Technology Training Service
Server and Storage Administrator,ICT and digital work,Computer network design deployment and implementation tasks
Talent Development Officer,Service,Other services
Total Rewards Officer,Service,Other services
Underwriting Officer,Service,Other services
Print Binding and Finishing Worker,Manufacturing,"Books, Brochures, Publisher of music books and other related articles"
Print Designer,Manufacturing,Electronic printing
Printer,Manufacturing,Electronic printing
Printer Maintenance Technician,Service,Equipment and machine installation and maintenance service
Printing and Distribution Controller,Manufacturing,"Books, Brochures, Publisher of music books and other related articles"
Printing and Distribution Manager,Manufacturing,"Books, Brochures, Publisher of music books and other related articles"
Printing Manager,Manufacturing,"Books, Brochures, Publisher of music books and other related articles"
Printing Cost Estimator,Manufacturing,"Books, Brochures, Publisher of music books and other related articles"
Printing Press Operator,Manufacturing,Electronic printing
Prisoner Reintegration Specialist,Service,Social work services
Private Detective,Service,Security Service
Turkish Language Teacher,Education,other
Health Sector Support Officer,Health,Health
Private Chef,Service,Other services
Guitar Teacher,Education,other
Negotiator,Service,Other services
Private Nurse,Health,Health
Private Sector Advisor,Service,Business Promotion Service
Private Sector Development Advisor,Service,Business Promotion Service
Private Sector Development Officer,Service,Business Promotion Service
Employment Linkage Officer,Service,Employment agencies and recruitment agencies
Private Sector Engagement Specialist,Service,Business Promotion Service
Privatization Specialist,Service,Finance and Administration Services
Probation Officer,Service,Social work services
Procedure Design Inspector,Service,Inspection
Process Improvement Manager,Service,Quality Management Consulting Service
Process Chemist,Manufacturing,Chemical Manufacturing
Process Operator,Manufacturing,Another unmentioned factory works
Processing Operator,Manufacturing,Another unmentioned factory works
Visa Processing Officer,Service,Other services
Procurement and Contract Manager,Service,Logistics Supply and Support Services (outside of other business sectors)
Procurement and Facilities Officer,Service,Logistics Supply and Support Services (outside of other business sectors)
Procurement and Import Officer,Service,Logistics Supply and Support Services (outside of other business sectors)
Procurement and Logistics Officer,Service,Logistics Supply and Support Services (outside of other business sectors)
Procurement and Market Research Officer,Service,Logistics Supply and Support Services (outside of other business sectors)
Procurement and Property Manager,Service,Logistics Supply and Support Services (outside of other business sectors)
Procurement and Property Officer,Service,Logistics Supply and Support Services (outside of other business sectors)
Procurement and Supplies Officer,Service,Logistics Supply and Support Services (outside of other business sectors)
Procurement and Supply Coordinator,Service,Logistics Supply and Support Services (outside of other business sectors)
Procurement and Supply Manager,Service,Logistics Supply and Support Services (outside of other business sectors)
Procurement Analyst,Service,Logistics Supply and Support Services (outside of other business sectors)
Procurement and Contract Officer,Service,Logistics Supply and Support Services (outside of other business sectors)
Procurement and Logistics Assistant,Service,Logistics Supply and Support Services (outside of other business sectors)
Procurement and Logistics Coordinator,Service,Logistics Supply and Support Services (outside of other business sectors)
Procurement and Logistics Manager,Service,Logistics Supply and Support Services (outside of other business sectors)
Procurement and Materials Manager,Service,Logistics Supply and Support Services (outside of other business sectors)
Procurement and Subaward Manager,Service,Logistics Supply and Support Services (outside of other business sectors)
Supply Chain Administrator,Service,Logistics Supply and Support Services (outside of other business sectors)
Procurement and Supply Officer,Service,Logistics Supply and Support Services (outside of other business sectors)
Procurement and Asset Management Officer,Service,Logistics Supply and Support Services (outside of other business sectors)
Procurement Business Partner,Service,Logistics Supply and Support Services (outside of other business sectors)
Procurement Clerk,Service,Logistics Supply and Support Services (outside of other business sectors)
Procurement Contract Administrator,Service,Logistics Supply and Support Services (outside of other business sectors)
Procurement Director,Service,Logistics Supply and Support Services (outside of other business sectors)
Procurement Documentation Clerk,Service,Logistics Supply and Support Services (outside of other business sectors)
Procurement Executive,Service,Logistics Supply and Support Services (outside of other business sectors)
Procurement and Financial Management Specialist,Service,Logistics Supply and Support Services (outside of other business sectors)
Procurement Supervisor,Service,Logistics Supply and Support Services (outside of other business sectors)
Procurement Team Leader,Service,Logistics Supply and Support Services (outside of other business sectors)
Producer and Director,Tourism and art,Filmmaking and related work
Producer and Reporter,Service,Media programming
Product Photographer,Service,Photographic works
Product Certification Officer,Service,Product certification
Product Curator,Service,Other services
Product Designer,Manufacturing,Another unmentioned factory works
Product Developer and Social Media Marketer,Service,Advertising
Product Development Coordinator,Manufacturing,Another unmentioned factory works
Product Development Specialist,Manufacturing,Another unmentioned factory works
Product Distributor,Business,Wholesale business in specialized stores
Product Editor,Service,Publishing and book services
Product Evaluator,Service,Inspection
Product Innovation Officer,Manufacturing,Another unmentioned factory works
Product Marketing Officer,Service,Advertising
Product Merchandiser,Business,Retail trade in specialized stores
Product Promotion Officer,Service,Advertising
Product Record Officer,Service,Other services
Product Researcher,Service,Industrial research and experimental development activities
Product Safety Officer,Service,Inspection
Production and Marketing Officer,Manufacturing,Another unmentioned factory works
Video Production Specialist,Tourism and art,Filmmaking and related work
Production Administrator,Manufacturing,Another unmentioned factory works
Production and Service Supervisor,Manufacturing,Another unmentioned factory works
Production Assistant,Manufacturing,Another unmentioned factory works
Production Clerk,Manufacturing,Another unmentioned factory works
Production Designer,Manufacturing,Another unmentioned factory works
Production Editor,Service,Publishing and book services
Production Engineer,Manufacturing,Another unmentioned factory works
Production Specialist,Manufacturing,Another unmentioned factory works
Production Officer,Manufacturing,Another unmentioned factory works
Production Pharmacist,Manufacturing,Manufacturing of hygienic and cosmetic products
Production Systems Engineer,Manufacturing,Another unmentioned factory works
Production Worker,Manufacturing,Another unmentioned factory works
Production and Media Manager,Service,Media programming
Product Inspection Manager,Service,Inspection
Aeronautical Information Safety Officer,"Logistics, transportation and communication",Other supportive transportation services
Air Traffic Safety Manager,"Logistics, transportation and communication",Other supportive transportation services
Professor,Education,other
Professor of Otolaryngology,Health,Health
Professor of Gastroenterology,Health,Health
Professor of Medical Oncology,Health,Health
Professor of Pediatrics,Health,Health
Professor of Urology,Health,Health
Program Administrative Assistant,Service,Other services
Program Communications Advisor,Service,Other services
Program Analyst,Service,Other services
Commodity Inspector,Service,Inspection
Program Development Manager,Service,Other services
Program Evaluation Consultant,Service,Other services
Program Specialist,Service,Other services
Program Facilitator,Service,Other services
Program Implementation Advisor,Service,Other services
Program Planner,Service,Other services
Program Researcher,Service,Other services
Program Support Specialist,Service,Other services
Program Support Coordinator,Service,Other services
Program Support Intern,Service,Other services
Program Support Officer,Service,Other services
Program Verifier,Service,Other services
Programmatic Advertiser,Service,Advertising
Traffic Coordinator,"Logistics, transportation and communication",Other supportive transportation services
Program Administrator,Service,Other services
Program Implementation Officer,Service,Other services
Programmer Analyst,ICT and digital work,Software Design Development and Implementation Works
Proposal Development Officer,Service,Other services
Project Analyst,Service,Other services
Project Appraisal Officer,Service,Other services
Project Associate,Service,Other services
Project Auditor,Service,Accounting audit and adminstrative works
Project Facilitator,Service,Other services
Field Facilitator,Service,Other services
Grants Coordinator,Service,Other services
Surveillance Officer,Service,Other services
Implementation Coordinator,Service,Other services
Cash Assistance Officer,Service,Social work services
Food Security Analyst,Service,Other services
Safeguarding Officer,Service,Other services
Project Planner,Service,Other services
Planning Manager,Service,Other services
Project Specialist,Service,Other services
Technical Expert,Service,Other services
Promotion Officer,Service,Advertising
Promotional Materials Coordinator,Service,Advertising
Proofreader,Service,Publishing and book services
Prop Designer,Tourism and art,Culture and Arts Education
Property Administrator,Service,Other services
Facility Officer,Service,Other services
Steward Supervisor,Service,Other services
Property Clerk,Service,Other services
Valuation Engineer,Service,Other services
Valuation Specialist,Service,Other services
Valuation Officer,Service,Other services
Valuation Supervisor,Service,Other services
Valuation Surveyor,Service,Other services
Property Valuer,Service,Other services
Proposal Writer Intern,Service,Other services
Prosthetic Technician,Manufacturing,Manufacture of artificial limbs
Prosthetic-Orthotic Aide,Manufacturing,Manufacture of artificial limbs
Prosthodontist,Health,Health
Conservation Specialist,Service,"Conservation of plants, animals and nature attractions"
Park Warden,Service,"Conservation of plants, animals and nature attractions"
Protection Officer,Service,Social work services
Protection Coordinator,Service,Social work services
Protection Manager,Service,Social work services
Protection Specialist,Service,Social work services
Protection Team Leader,Service,Social work services
Mental Health and Psychosocial Support Advisor,Health,Health
Safeguarding and GBV Coordinator,Service,Social work services
Protective Service Worker,Service,Social work services
Protocol and Events Officer,Service,Special event coordination
Psychiatric Aide,Health,Health
Psychiatric Nurse,Health,Health
Psychiatric Technician,Health,Health
Psychiatrist,Health,Health
Psychosocial Services Coordinator,Health,Health
Psychological Counselor,Service,Education counseling service
Psychological Researcher,Service,Research and experimental development work in psychology
Psychological Services Consultant,Service,Consulting service around social science
Psychology Teacher,Education,other
Psychology Professor,Education,other
Psychology Trainer,Education,other
Psychometrician,Service,Other services
Psychosocial Counselor,Service,Education counseling service
Psychosocial Support Officer,Health,Health
Psychotherapist Supervisor,Health,Health
Psychotherapist,Health,Health
Public Relations Executive,Service,Advertising
Public Affairs Manager,Service,Advertising
Public Affairs Director,Service,Advertising
Transport Affairs Executive,"Logistics, transportation and communication",Other supportive transportation services
Public Area Attendant,Service,"Cleaning of buildings, industry, aircraft, housing, etc"
Public Finance Specialist,Service,Finance and Administration Services
Public Health Coordinator,Health,Health
Public Health Data Analyst,Health,Health
Public Health Engineer,Health,Health
Public Health Facilitator,Health,Health
Higher Education Licensing Specialist,Education,other
Public-Private Partnership Specialist,Service,Other services
Procurement Auditor,Service,Accounting audit and adminstrative works
Procurement Planner,Service,Other services
Public Relations and Fundraising Officer,Service,Other services
Public Relations Coordinator,Service,Other services
Public Safety Telecommunicator,Service,Other services
Public Speaking Trainer,Education,other
Publicist,Service,Other services
Pulmonologist,Health,Health
Pump Helper,Manufacturing,Manufacture of General Mechanical Engineering Products for Metal Painting works
Pump Operator,Manufacturing,Manufacture of General Mechanical Engineering Products for Metal Painting works
Purchasing Analyst,Business,Wholesale business in specialized stores
Purchasing and Logistics Manager,"Logistics, transportation and communication",Other supportive transportation services
Purchasing Specialist,Business,Wholesale business in specialized stores
Purchasing Coordinator,Business,Wholesale business in specialized stores
Purchasing Manager,Business,Wholesale business in specialized stores
Purchasing Supervisor,Business,Wholesale business in specialized stores
Purchasing and Inventory Officer,Business,Wholesale business in specialized stores
Software Debugger,ICT and digital work,Software Design Development and Implementation Works
Quality Assurance Engineer,Manufacturing,Another unmentioned factory works
Quality Assurance Pharmacist,Health,Health
Quality Assurance Tester,ICT and digital work,Software Design Development and Implementation Works
Quality Control Engineer,Manufacturing,Another unmentioned factory works
Quality Control Test Engineer,Manufacturing,Another unmentioned factory works
Health and Safety Manager,Service,Occupational Safety and Health Care Consulting Service
Quality Management Officer,Service,Quality Management Consulting Service
Research Manager,Service,Research and experimental development activities in agriculture and animal husbandry
